Nascimento,Estado sanguíneo,Estado civil,Nacionalidade,Outros nomes,Título(s),Assinatura,Espécie,Gênero,Altura,Peso,Cor do cabelo,Cor dos olhos,Membros da família,Bicho-papão,Varinha,Patrono,Ocupação,Casa,Lealdade,Nome,Cor da pele,Romances,Morte,Cor das penas,Dono (s),Forma animaga,Cor do pelo,Título (s),Familiares
"Entre 1951-1955[1], Grã-Bretanha",Sangue puro,Viúva,Inglesa,Andy ou Drômeda (por Ted Tonks),,,Humana,Feminino,,,Castanho claro[2],,"Cygnus Black III (pai) †, Druella Black (nascida Rosier) (mãe), Belatriz Lestrange (nascida Black) (irmã) †, Narcisa Malfoy (nascida Black) (irmã), Ted Tonks (marido) †, Ninfadora Lupin (nascida Tonks) (filha) †, Remo Lupin (genro) †, Ted Lupin (neto), Rodolfo Lestrange (cunhado), Delphini Riddle (sobrinha), Lúcio Malfoy (cunhado), Draco Malfoy (sobrinho), Walburga Black (tia paterna) †, Órion Black (tio paterno) †, Alphard Black (tio paterno) †, Sirius Black (primo) †, Régulo Black (primo) †, Pollux Black (avô paterno) †, Irma Black (nascida Família Crabbe) (avó paterna) †, Casa dos Black, Família Tonks (por casamento)",,,,, Sonserina[3],"Casa dos Black (anteriormente), Família Rosier (anteriormente), Família Tonks, Ordem da Fênix (indiratamente), Escola de Magia e Bruxaria de HogwartsSonserina, Sonserina",Andrômeda Tonks,,,,,,,,,
,Sangue puro ou mestiço[2],,,,,,Humano[3],Masculino[3],,,,,"Sr. Bones (pai) †, Sra. Bones (mãe) †, Amélia Bones (irmã) †, Irmão ou irmã, Esposa †, Filhos †, Susana Bones (sobrinha), Família Bones",,Desconhecida,,,Lufa-Lufa[4] (provavelmente),"Família Bones, Ordem da Fênix[3]",Edgar Bones,,,1981[1],,,,,,
Entre 8 de setembro de 1956 e 7 de setembro de 1957[1],Mestiço ou Puro-sangue,,,,,,Humano[2],Masculino[2],,,Cor de palha[2],,Sir Patrício Delaney-Podmore (Possivelmente),,,,,,"Família Podmore, Ordem da Fênix[3]Guarda Avançada[3], Guarda Avançada[3]",Estúrgio Podmore,,,,,,,,,
Entre 1 de setembro de 1978 a 31 de agosto de 1979,Sangue puro ou Mestiça[1],,Britânica ou irlandesa[2],,Artilheira[3],,Humana,Feminino,,,,,"Sr. Bell (pai), Sra. Bell (mãe)",Lorde Voldemort[4],"Comprimento, madeira e núcleo desconhecidos",Incorpóreo[5],, Grifinória,"Armada de Dumbledore, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da Grifinória, Grifinória, Time de Quadribol da Grifinória",Cátia Bell,,,,,,,,,
Entre 2 de Setembro de 1979 a 21 de Abril de 1980[1],Mestiça ou Puro-Sangue[2],,Britânica ou Irlandesa[3],Srta. Pennyfeather (por Cuthbert Binns)[4],,     ,Humana[5],Feminino,,,Longos e negros[6][7],Escuros[8],"Sr. Patil (pai)[9], Sra. Patil (mãe)[9], Padma Patil (irmã gêmea)[10][11]",Múmia[12],"Comprimento, madeira e núcleo desconhecidos",Incorpóreo[13],, Grifinória[10],"Família Patil, Armada de Dumbledore[5], Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória",Parvati Patil,Escura,,,,,,,,
1 de Setembro de 1979 – 31 de Agosto de 1980  Grã-Bretanha ou Irlanda[1],Mestiço[2],,,,,,Humano,Masculino,,,Loiro,,"Porpentina Scamander (parente distante), Queenie Goldstein (parente distante), Luna Lovegood (prima distante)",,Desconhecida,,, Corvinal,"Família Goldstein, Escola de Magia e Bruxaria de HogwartsCorvinal, Corvinal, Armada de Dumbledore",Antônio Goldstein,Branca,,,,,,,,
Antes de 1977,,,Britânica ou irlandesa,,Madame[1],,Humana[2],Feminino[2],,,Castanho claro[1],Verdes[1],,,Desconhecida[2],Cisne branco[3],Curandeira[2],,"Hospital St. Mungus para Doenças e Acidentes Mágicos[2]Enfermaria Jano Thickey[2][4], Enfermaria Jano Thickey[2][4], Escola de Magia e Bruxaria de Hogwarts[5]",Miriam Strout,Branca[1],,,,,,,,
31 de agosto de 1983 ou antes[1],,,Britânica ou irlandesa,,Batedor,,Humano,Masculino,,,,,,,,,,Grifinória,"Família Kirke, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de quadribol da Grifinória, Grifinória, Time de quadribol da Grifinória",Andrew Kirke,,,,,,,,,
26 de agosto de 1961 ou antes[1],Mestiça,Solteira,,,,,Humana,Feminino,Pequena,,"Castanho (primeiramente), Cinza metálico",Castanhos,"Orford Umbridge (pai), [[Irmão de Dolores Umbridge|(Irmão)",,"20,3cm, Bétula e corda de coração de dragão",Gato,,Sonserina,"Ministério da Magia, Cornélio Fudge, Brigada Inquisitorial (primeiramente), Comensais da Morte (indiretamente), Escola de Magia e Bruxaria de Hogwarts (primeiramente), Comissão de Registro dos Nascidos-Trouxas (primeiramente), Suprema Corte dos Bruxos (primeiramente), Azkaban",Dolores Umbridge,Pálida,,,,,,,,
22 de Outubro de 1979,Mestiça,Casada,,,,,Humano,Feminino,,,Loiros,,"Sra. Abbott (mãe) †, Abbott (possível relação) †, Giffard Abbott (possível relação) †, Neville Longbottom (marido), Alice Longbottom (sogra), Frank Longbottom (sogro), Augusta Longbottom (parente), Família Longbottom (parentes)",,Varinha,,"Senhoria no Caldeirão Furado (1998 - 2014), Enfermeira", Lufa-Lufa,"Família Abbott, Família Longbottom, Escola de Magia e Bruxaria de HogwartsLufa-LufaArmada de Dumbledore, Lufa-Lufa, Armada de Dumbledore, Caldeirão Furado",Ana Abbott,,,,,,,,,
8 de Dezembro  de 1979,Mestiço,,Inglês,,Apanhador,     ,Humano,Masculino,,,Preto,Castanho,"Pai de Dino Thomas †, Sra. Thomas (mãe), Padastro, Vários meio-irmãos",Mão decepada que anda por conta própria [1],"Primeira varinha desconhecida, Segunda varinha desconhecida",Corpóreo,, Grifinória,"Família Thomas, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da Grifinória, Grifinória, Time de Quadribol da Grifinória, Armada de Dumbledore",Dino Thomas,Escura,Gina Weasley (anteriormente),,,,,,,
Entre 2 de Setembro de 1979 a 21 de Abril de 1980[1],Mestiça ou Puro-Sangue[2],,Britânica ou Irlandesa[3],,,     ,Humana[4],Feminino[5],,,Longos e negros[6][7],Escuros[8],"Sr. Patil (pai)[9], Sra. Patil (mãe)[9], Parvati Patil (irmã gêmea)[10][5], Rony Weasley (marido em realidade alternativa)[11], Panju Weasley (filho em realidade alternativa)[11]",Serpente gigante[12],"Comprimento, madeira e núcleo desconhecidos",,, Corvinal[13],"Família Patil, Armada de Dumbledore[4], Escola de Magia e Bruxaria de HogwartsCorvinal, Corvinal",Padma Patil,Escura,,,,,,,,
entre 1979 e 1980,Mestiço[1],,,,,,Humano,Masculino,"1,77",,Pretos,Castanhos,"Peter Corner (pai), Hannah Corner (mãe)",Lord Voldemort,Sabuguiro de Pele de Unicornio 27cm,Esquilo,Auror, Corvinal,"Família Corner, Escola de Magia e Bruxaria de HogwartsCorvinal, Corvinal, Armada de Dumbledore",Miguel Corner,Clara,,,,,,,,
Entre 1 de setembro de 1977 e 31 de agosto de 1978,Sangue puro or mestiça[1] (provavelmente),,Britânica ou irlandesa,,Artilheira,,Humana,Feminino,,,,,,Lord Voldemort[2],,,,Grifinória,"Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de quadribol da Grifinória, Grifinória, Time de quadribol da Grifinória, Armada de Dumbledore",Alicia Spinnet,,,,,,,,,
"20 de agosto de 1960, Inglaterra, Grã-Bretanha",Puro-sangue[1],Casado,,,Ministro da Magiade 1999 até 2017,,Humano<[3],Masculino[3],189 cm[1],,Careca[3],Castanho escuro[3],"Sr. Shacklebolt †, Sra. Shacklebolt †, Sabrina Shacklebolt (esposa), Quim Shacklebolt II (filho), Robert Shacklebolt (filho), Mariah Shacklebolt (filha), Edward Shacklebolt (filho), Elizabeth Shacklebolt (filha), Jade Shacklebolt (filha)",,Desconhecida,Lince [4],"Auror[3] (anteriormente), Ministro da Magia[2] (anteriormente)",,"Família Shacklebolt, Ministério da Magia[3]Seção dos Aurores[3] (anteriormente), Seção dos Aurores[3] (anteriormente), Ordem da Fênix[3]Guarda Avançada, Guarda Avançada, Observatório Potter",Quim Shacklebolt,Negra[3],,,,,,,,
Entre 1351 & 1980[1],,,,,,,Elfo-Doméstico,Masculino,,,Brancos,,Mãe †,,,,"Elfo-doméstico de Harry Potter (1996-atualmente), Elfo-doméstico da Casa dos Black (?-1996)",,"Casa dos Black (anteriormente), Régulo Black (anteriormente), Harry Potter, Belatriz Lestrange (anteriormente), Escola de Magia e Bruxaria de Hogwarts, Família Potter",Monstro,Clara,,Após 1 de Setembro de 2017 (666 anos de idade),,,,,,
c. Antes de 31 de agosto de 1984[1],,,Britânica ou irlandesa,,Batedor,,Humana,Masculino,,,,,,,,,,Grifinória,"Família Sloper, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de quadribol da Grifinória, GrifinóriaTime de quadribol da Grifinória, Time de quadribol da Grifinória",Juca Sloper,,,,,,,,,
após 1931,,Solteiro,,,,,Gigante,Masculino,"4,87 metros",,Castanho,Castanho-Verde,"Pai, Fridwulfa (mãe) †, Rúbeo Hagrid (meio-irmão)",,,,,,,Grope,Clara,,,,,,,,
5 de abril de 1951,Puro-sangue,Morta,,,,,Humana,Feminino,,,Negros,Negros,"Cygnus Black III (pai) †, Druella Rosier (mãe) †, Delphini (Filha), Andrômeda Tonks (irmã), Narcisa Malfoy (irmã), Rodolfo Lestrange (marido), Pollux Black (avô paterno) †, Irma Crabbe (avó paterna) †, Sirius Black (primo paterno) †, Régulo Black (primo paterno) †, Ted Tonks (cunhado) †, Lúcio Malfoy (cunhado), Rabastan Lestrange (cunhado), Ninfadora Tonks (sobrinha) †, Ted Lupin (sobrinho-neto), Draco Malfoy (sobrinho), Clarice Malfoy (sobrinha), Escórpio Malfoy (sobrinho-neto), Walburga Black (tia paterna) †, Órion Black (tio paterno) †, Alphard Black (tio paterno) †, Fineus Nigellus Black (trisavô paterno) †, Arthur Weasley (1C1R/2C paterno), Família Weasley (parentes distantes do lado paterno), Família Lestrange (Parentes por casamento), Família Rosier (parentes maternos), Família Potter (parentes distantes), Casa dos Black (família paterna)",Desapontar Voldemort[1],"32 cm, Nogueira, fibra de coração de dragão, Comprimento, núcleo e madeira desconhecidos",Nenhum[2],,Sonserina,"Comensais da Morte, Casa dos Black, Família Rosier, Família Lestrange, Lord Voldemort, Escola de Magia e Bruxaria de Hogwarts, Sonserina",Bellatrix Lestrange (nascida Black),Pálida,,"2 de maio de 1998 (47)Salão Principal, Castelo de Hogwarts",,,,,,
2 de setembro de 1979 – 21 de abril de 1980,Mestiço ou Puro-sangue,,,,,,Humano,Masculino,,,,,"D. Boot (possível relação), Albert Boot  (possível relação), Webster Boot (possível ancestral)",,Desconhecida,,, Corvinal,"Família Boot, Escola de Magia e Bruxaria de HogwartsCorvinal, Corvinal, Armada de Dumbledore",Terêncio Boot,,,,,,,,,
"13 de fevereiro de 1981[1], Grã-Bretanha[2]",Sangue puro ou Mestiça[3],Casada,Britânica[2],Di-lua Lovegood (por alunos de Hogwarts),,     ,Humana[4],Feminino[4],,,"Louro, sujo e mal cortado[5]",Claros e prateados[6][7],"Xenofílio Lovegood (pai), Pandora Lovegood (mãe)†, Rolf Scamander (marido), Lysander Scamander (filho), Lorcan Scamander (filho), Porpentina Scamender (nascida Goldstein) (avó), Antônio Goldstein (possível parente)",,"1ª varinha desconhecida, 2ª varinha desconhecida",Lebre[9][10],Magizoologista[11][12], Corvinal[4],"Família Lovegood, Família Scamander, Escola de Magia e Bruxaria de HogwartsCorvinal[4], Corvinal[4], Armada de Dumbledore, Ordem da Fênix, O Pasquim",Luna Scamander (nascida Lovegood),Pálida[8],,,,,,,,
antes de 1995,,,,,,,Gigante,Masculino,"7,60 metros",,,,,,,,Gurgue da Colônia de Gigantes,,"Colônia de Gigantes, Lord Voldemort, Comensais da Morte",Golgomate,,,,,,,,,
Entre 1925 e 1938[1]; Grã-Bretanha,Sangue puro[3],,,,,,Humano[3],Masculino[3],,,,,"Pólux Black (pai)[3] †, Irma Black (nascida Crabbe)[3] (mãe), Walburga Black (irmã mais velha)[3] †, Cygnus Black III (irmão mais novo)[3] †, Órion Black (cunhado/primo paterno de segundo grau)[3] †, Druella Black (nascida Rosier) (cunhada)[3] †, Belatriz Lestrange (nascida Black) (sobrinha)[3] †, Andrômeda Tonks (nascida Black) (sobrinha)[3], Narcisa Malfoy (nascida Black) (sobrinha)[3], Sirius Black III (sobrinho/primo de segundo grau depois de removido)[3] †, Régulo Black II (sobrinho/primo de segundo grau depois de removido)[3] †, Cassiopeia Black (tia paterna)[3] †, Mário Black (tio paterno)[3], Dorea Potter (nascida Black) (tia paterna)[3] †, Charlus Potter (tio paterno por casamento)[3] †, Filho de Dorea Potter (primo paterno)[3], Cygnus Black II (avô paterno)[3] †, Violetta Black (nascida Bulstrode) (avó paterna)[3], Casa dos Black, Família Crabbe (família materna), Família Bulstrode (parentes paternos)",,,,,Sonserina[4],"Casa dos Black (deserdado postumamente)[3], Escola de Magia e Bruxaria de HogwartsSonserina, Sonserina",Alfardo Black,Branca,,Entre 3 de novembro de 1976 e 3 de novembro de 1977[2] (38–52 anos),,,,,,
1978/1979[1],Sangue puro or mestiça[2],,Britânica ou irlandesa,,,,Humana[3],Feminino[3],,,Louro-avermelhado[4],,"Sr. Edgecombe (pai), Madame Edgecombe (mãe), Família Edgecombe",,Desconhecida[3],Não corpóreo[5],,Corvinal[3],"Edgecombe family, Escola de Magia e Bruxaria de HogwartsCorvinal[3], Corvinal[3], Armada de Dumbledore (traiu), Ministério da Magia Britânica",Marieta Edgecombe,,,,,,,,,
"Antes de 1962[1], Grã-Bretanha ou Irlanda",Mestiço[2],Solteiro,,,,,,,,,,Castanhos,,,Desconhecida,Corpóreo[3],,,,Mundungo Fletcher,Branca,,,,,,,,
"1961, Grã-Bretanha[1]",Sangue puro,Solteiro,Inglês,R.A.B,Apanhador[2],,Humana,Masculino,,,Escuro[3],,"Fineus Nigellus Black (tataravô paterno/materno) †, Orion Black (pai/primo de segundo grau) †, Walburga Black (mãe/prima de segundo grau) †, Sirius Black III (irmão/primo de segundo grau) †, Lucretia Prewett (nascida Black) (tia paterna/prima materna de segundo grau), Ignatius Prewett (tio paterno), Alphard Black (tio paterno/primo paterno de segundo grau), Cygnus Black III (tio paterno/primo paterno de segundo grau), Druella Black (nascida Rosier) (tia materna), Belatriz Lestrange (nascida Black) (prima materna de primeiro grau/prima paterna de terceiro grau) †, Andrômeda Tonks (nascida Black) (prima materna de primeiro grau/prima paterna de terceiro grau), Narcisa Malfoy (nascida Black) (prima materna de primeiro grau/prima paterna de terceiro grau), Arcturus Black III (avô paterno/primo materno de primeiro grau) †, Melania Black (nascida Black) (avó paterna), Pollux Black (avô paterno/primo paterno de primeiro grau) †, Irma Black (nascida Crabbe) (avó paterna) †, Casa dos Black",,,Nenhum [4],, Sonserina,"Casa dos Black, Escola de Magia e Bruxaria de HogwartsSonserina[5]Time de quadribol da Sonserina[2], Sonserina[5]Time de quadribol da Sonserina[2], Time de quadribol da Sonserina[2], Comensais da Morte (anteriormente)",Régulo Arturo Black,,,"1979[1] (18 anos)Caverna de Cristal, Grã-Bretanha",,,,,,
"entre 1875 e 1975[1],Grã-Bretanha ou Irlanda[2]",Puro-sangue ou Mestiço (possívelmente)[3],,,,,,Humano,Masculino,,,Castanho,Cinza,Helen Dawlish (possívelmente),,Desconhecida,,,,"Ministério da Magia BritânicoDepartamento de Aurores, Departamento de Aurores, Família Dawlish",John Dawlish,Branco,,,,,,,,
,,,,,,,Humano[2],Feminino[2],,,,,"Angus McKinnon[3], Elspeth McKinnon[3], Família McKinnon[2]",,,,,,"Família McKinnon[4][2], Ordem da Fênix[2]",Marlene McKinnon,,,Julho de 1981[1],,,,,,
,,,britânico[2],,,,Humana[2],Feminino[2],,,Preto[3],Castanhos[3],,,,,,,"Família Meadowes, Ordem da Fênix[2]",Dorcas Meadowes,Escura[3],,1981[1],,,,,,
,Sangue puro,,Inglês,,,,Humana,Masculino,,,,,"Sr. Prewett (pai), Sra. Prewett (mãe), Gideão Prewett (irmão) †, Molly Weasley (irmã), Bilius (possível irmão), Arthur Weasley (cunhado), Gui Weasley (sobrinho), Carlinhos Weasley (sobrinho), Percy Weasley (sobrinho), Fred Weasley (sobrinho) †, Jorge Weasley (sobrinho), Rony Weasley (sobrinho), Gina Weasley (sobrinha), Tessie (possível tia), Ignatius Prewett (tio paterno), Lucretia Prewett (tia paterna), Primo de segundo grau, avó, Muriel (tia-avó[2]), Família Prewett",,,,,,"Família Prewett, Ordem da Fênix",Fábio Prewett,,,1981[1],,,,,,
1925,Puro-sangue[1],Viúva,,,,,Humana[1],Feminino[1],,,,,"Pollux Black (pai)[1]†, Irma Crabbe (mãe)[1]†, Cygnus Black III (irmão)[1]†, Alphard Black (irmão)[1]†, Druella Rosier (cunhada)[1]†, Órion Black  (marido)[1] †, Sirius Black  (filho)[1] †, Régulo Black  (filho)[1] †, Cygnus Black II (avô paterno)[1] †, Violetta Bulstrode (avó paterna)[1] †, Belatriz Lestrange (sobrinha)[1] †, Andrômeda Tonks (sobrinha)[1], Narcisa Malfoy (sobrinha)[1], Rodolfo Lestrange (nephew-in-law)[1], Ted Tonks (niece-in-law)[1] †, Ninfadora Tonks (sobrinha-neta)[1] †, Lúcio Malfoy (nephew-in-law)[1], Draco Malfoy (sobrinho-neto)[1], Casa dos Black",,,,,Sonserina[2],"Casa dos Black[1], Escola de Magia e Bruxaria de Hogwarts, Sonserina",Walburga Black,,,1985[1] (60 anos),,,,,,
,,,Britânico,,,,Humano,Masculino,,,,,"Marcus Fenwick (possível parente), Mervyn Fenwick (possível parente), Robbie Fenwick (possível parente), Família Fenwick",,,,,,Ordem da Fênix[2],Benjy Fenwick,,,1981[1],,,,,,
cerca de 1979 a 1981[1],Puro-sangue ou mestiço[2],,,,,,Humana,Masculino,,,Loiro,Castanhos,"Pai, Sally Smith (possivelmente), Hepzibá Smith (possivelmente) †, Helga Lufa-Lufa (possível ancestral) †",,,,,Lufa-Lufa,"Armada de Dumbledore (abandonou), Time de Quadribol da Lufa-Lufa, Hogwarts, Lufa-Lufa",Zacarias Smith,Clara,,,,,,,,
